"RK",TIERS,"PLAYER NAME",TEAM,"BYE WEEK","STRENGTH OF SCHEDULE ","ECR VS. ADP","AVG. POINTS ","% GAMES "
"116",9,"Mike Boone",HOU,"7","4.2","-","-0.8","22% (2/9)"
"117",9,"J.D. McKissic",FA,"-","-","-35","-1.2","37% (3/8)"
"118",9,"Tyler Badie",FA,"-","7.2","-","-","-"
"119",9,"Julius Chestnut",TEN,"7","7.2","-","-3.0","0% (0/1)"
"120",9,"Travis Homer",CHI,"13","9.9","-","0.0","40% (4/10)"
"121",10,"Jaleel McLaughlin",DEN,"9","-","-","-","-"
"122",10,"Ty Johnson",FA,"-","-","-","-0.3","31% (5/16)"
"123",10,"Ronnie Rivers",LAR,"10","4.4","-","-0.3","50% (2/4)"
"124",10,"Keaton Mitchell",BAL,"13","5.2","-","-","-"
"125",10,"Brandon Bolden",LV,"13","6.2","-","-0.8","18% (2/11)"
"126",10,"Anthony McFarland Jr.",PIT,"6","-","-","-","-"
"127",10,"Darrell Henderson Jr.",FA,"-","-","-","-2.3","20% (2/10)"
"128",10,"Alec Ingold",MIA,"10","1.0","-","+0.4","37% (6/16)"
"129",10,"Mohamed Ibrahim",FA,"-","8.4","-","-","-"
"130",10,"Gary Brightwell",NYG,"13","3.0","-","-0.4","20% (3/15)"
"131",10,"Trey Sermon",FA,"-","1.4","-","-0.7","50% (1/2)"
"132",10,"Darrynton Evans",FA,"-","-","-","-2.2","0% (0/4)"
"133",10,"Royce Freeman",FA,"-","-","-","+0.7","33% (1/3)"
"134",10,"Trestan Ebner",FA,"-","8.6","-","-1.3","8% (1/12)"
